;event_type;event_class
1;   HIGH SURF ADVISORY;High Surf
2; COASTAL FLOOD;Coastal Flood
3; FLASH FLOOD;Flash Flood
4; LIGHTNING;Lightning
5; TSTM WIND;Thunderstorm Wind
6; TSTM WIND (G45);Thunderstorm Wind
7; WATERSPOUT;Waterspout
8; WIND;High Wind
9;?;NA
10;ABNORMAL WARMTH;Excessive Heat
11;ABNORMALLY DRY;Drought
12;ABNORMALLY WET;Heavy Rain
13;ACCUMULATED SNOWFALL;Winter Weather
14;AGRICULTURAL FREEZE;Frost/Freeze
15;APACHE COUNTY;NA
16;ASTRONOMICAL HIGH TIDE;Coastal Flood
17;ASTRONOMICAL LOW TIDE;Astronomical Low Tide
18;AVALANCE;Avalanche
19;AVALANCHE;Avalanche
20;BEACH EROSIN;NA
21;Beach Erosion;NA
22;BEACH EROSION;NA
23;BEACH EROSION/COASTAL FLOOD;Coastal Flood
24;BEACH FLOOD;Coastal Flood
25;BELOW NORMAL PRECIPITATION;Sleet
26;BITTER WIND CHILL;Extreme Cold/Wind Chill
27;BITTER WIND CHILL TEMPERATURES;Extreme Cold/Wind Chill
28;Black Ice;Frost/Freeze
29;BLACK ICE;Frost/Freeze
30;BLIZZARD;Blizzard
31;BLIZZARD AND EXTREME WIND CHIL;Blizzard
32;BLIZZARD AND HEAVY SNOW;Blizzard
33;Blizzard Summary;Blizzard
34;BLIZZARD WEATHER;Blizzard
35;BLIZZARD/FREEZING RAIN;Blizzard
36;BLIZZARD/HEAVY SNOW;Blizzard
37;BLIZZARD/HIGH WIND;Blizzard
38;BLIZZARD/WINTER STORM;Blizzard
39;BLOW-OUT TIDE;Storm Surge/Tide
40;BLOW-OUT TIDES;Storm Surge/Tide
41;BLOWING DUST;Dust Storm
42;blowing snow;Heavy Snow
43;Blowing Snow;Heavy Snow
44;BLOWING SNOW;Heavy Snow
45;BLOWING SNOW- EXTREME WIND CHI;Winter Storm
46;BLOWING SNOW & EXTREME WIND CH;Winter Storm
47;BLOWING SNOW/EXTREME WIND CHIL;Winter Storm
48;BREAKUP FLOODING;Flood
49;BRUSH FIRE;Dense Smoke
50;BRUSH FIRES;Dense Smoke
51;COASTAL  FLOODING/EROSION;Coastal Flood
52;COASTAL EROSION;Coastal Flood
53;Coastal Flood;Coastal Flood
54;COASTAL FLOOD;Coastal Flood
55;coastal flooding;Coastal Flood
56;Coastal Flooding;Coastal Flood
57;COASTAL FLOODING;Coastal Flood
58;COASTAL FLOODING/EROSION;Coastal Flood
59;Coastal Storm;Storm Surge/Tide
60;COASTAL STORM;Storm Surge/Tide
61;COASTAL SURGE;Storm Surge/Tide
62;COASTAL/TIDAL FLOOD;Coastal Flood
63;COASTALFLOOD;Coastal Flood
64;COASTALSTORM;Storm Surge/Tide
65;Cold;Cold/Wind Chill
66;COLD;Cold/Wind Chill
67;COLD AIR FUNNEL;Funnel Cloud
68;COLD AIR FUNNELS;Funnel Cloud
69;COLD AIR TORNADO;Tornado
70;Cold and Frost;Frost/Freeze
71;COLD AND FROST;Frost/Freeze
72;COLD AND SNOW;Heavy Snow
73;COLD AND WET CONDITIONS;Frost/Freeze
74;Cold Temperature;Extreme Cold/Wind Chill
75;COLD TEMPERATURES;Extreme Cold/Wind Chill
76;COLD WAVE;Extreme Cold/Wind Chill
77;COLD WEATHER;Extreme Cold/Wind Chill
78;COLD WIND CHILL TEMPERATURES;Cold/Wind Chill
79;COLD/WIND CHILL;Cold/Wind Chill
80;COLD/WINDS;Cold/Wind Chill
81;COOL AND WET;Cold/Wind Chill
82;COOL SPELL;Cold/Wind Chill
83;CSTL FLOODING/EROSION;Coastal Flood
84;DAM BREAK;Flash Flood
85;DAM FAILURE;Flash Flood
86;Damaging Freeze;Frost/Freeze
87;DAMAGING FREEZE;Frost/Freeze
88;DEEP HAIL;Hail
89;DENSE FOG;Dense Fog
90;DENSE SMOKE;Dense Smoke
